date,time,source,genera,brand_name,product_name,product_type,unit,number_of_unit,price
2026-04-25,19:06:44,Chaldal,egg,loose,Chicken Eggs (Layer),packet,piece,12.0,119.0
2026-04-25,19:06:44,Chaldal,egg,loose,Chicken Eggs Layer (White),packet,piece,12.0,115.0
2026-04-25,19:06:44,Chaldal,egg,loose,Chicken Eggs (Deshi),packet,piece,6.0,109.0
2026-04-25,19:06:44,Chaldal,egg,loose,Chicken Eggs (Layer),packet,piece,6.0,220.0
2026-04-25,19:06:44,Chaldal,egg,Purnava,Purnava Vitamin E Eggs,packet,piece,12.0,65.0
2026-04-25,19:06:44,Chaldal,egg,loose,Chicken Eggs Layer (White),packet,piece,6.0,265.0
2026-04-25,19:06:44,Chaldal,egg,loose,Chicken Eggs (Layer),loose,piece,6.0,10.75
2026-04-25,19:06:44,Chaldal,egg,loose,Chicken Eggs Layer (White),loose,piece,6.0,9.58
2026-04-25,19:06:44,Chaldal,egg,,Chicken Eggs (Deshi),loose,piece,6.0,18.17
2026-04-25,19:06:44,Chaldal,egg,loose,,,piece,,
